Video Length : 1356
2,-39.721092259,156.726572836,13.593220659|2,62.430454884,214.486277955,12.754476680|3,-156.307333957,211.193538652,12.578273887|
2,-39.958930070,156.365528927,13.550109185|2,62.401906593,214.611675725,12.748292670|3,-158.810226582,210.747500229,12.529069518|
2,-40.237733365,156.658539169,13.528817745|2,62.817604107,214.532345487,12.709831444|3,-160.531890125,209.314016111,12.397874533|
2,-40.483356252,156.665552623,13.518918539|2,63.747122603,214.884152492,12.714915850|3,-166.076447699,212.418196120,12.572735776|
2,-40.823449283,156.925840578,13.501251473|2,65.187865626,215.771656878,12.729294212|3,-167.602047092,210.597815044,12.419218277|
2,67.241839312,216.982086984,12.777433122|2,-41.053932918,157.031331421,13.491561201|3,-170.010201115,209.573541606,12.349017304|
2,-41.297260618,157.741855176,13.506956483|2,69.405783076,217.676316972,12.773305983|3,-174.311456342,211.376458662,12.410452345|
2,-41.423747735,157.972982174,13.500413296|2,72.078114359,218.099803487,12.767143536|3,-177.045479631,211.265269544,12.383185067|
2,75.222692386,219.218851805,12.802799655|2,-41.456351055,158.355507825,13.502497642|3,-180.051503339,211.573151967,12.380054458|
2,-41.452724665,158.564016055,13.489128715|2,78.313362466,219.215171230,12.772118070|3,-183.032433859,211.891979062,12.379221010|
2,81.851210791,219.901957181,12.784387018|2,-41.537528425,158.959119286,13.505280819|3,-186.268392489,212.512892800,12.402528403|
2,85.428103016,219.963106996,12.762108371|2,-41.470555879,159.110330123,13.486486477|3,-188.275522012,212.009306946,12.355050180|
2,89.360404320,220.526715092,12.767979771|2,-41.466613172,159.463475168,13.487452440|3,-191.082678168,212.547230870,12.366977144|
2,93.914570440,221.971376995,12.822123082|2,-41.242251932,159.470778115,13.455582027|3,-193.348909825,212.901183299,12.365365307|
2,-41.152393176,159.828125122,13.443079836|2,98.203844266,222.775666434,12.841873182|3,-195.810053141,213.672888753,12.385365999|
2,102.475816273,222.965277320,12.831369911|2,-41.016476923,160.249364664,13.445644413|3,-197.653607039,213.964272372,12.386189754|
2,-40.949724606,161.080417442,13.482893131|2,106.514266537,222.898923386,12.806494181|3,-199.404010872,214.553388013,12.399491346|
2,-40.705990440,161.195558029,13.458776000|2,110.597153330,222.738456787,12.780295487|3,-200.333426426,214.639613404,12.382814651|
2,-40.378142445,161.277503587,13.432496323|2,114.651425299,222.627186740,12.762027661|3,-201.015113538,214.811719994,12.370394135|
2,118.771105192,222.971491574,12.772022454|2,-40.355466931,162.253392200,13.480191270|3,-201.349446430,214.968335132,12.356562317|
2,-40.170906556,162.097378538,13.445534033|2,122.831495466,223.506576746,12.797659490|3,-201.758123605,215.373428222,12.365981210|
2,126.094232428,222.992781971,12.768353046|2,-40.026951142,162.207775985,13.432589750|3,-201.127533950,214.965722812,12.328254852|
2,129.202133395,222.704104174,12.746069006|2,-40.004803518,162.810589196,13.456053265|3,-200.365554089,214.967928067,12.308246887|
2,-39.877732139,163.335088639,13.466337872|2,132.157532464,222.574049953,12.729248819|3,-199.886806573,215.835410427,12.330510115|
2,135.369781477,223.257788259,12.758314013|2,-39.576208766,163.151257076,13.417628992|3,-198.071495169,215.522282319,12.286185781|
2,-39.477290468,164.160802529,13.465243985|2,137.798543170,223.005357951,12.734678529|3,-196.338040703,215.793433545,12.274380577|
2,139.508288631,222.350011653,12.687284281|2,-39.358758483,164.614918187,13.469534348|3,-194.874919716,216.544274308,12.289335649|
2,-39.188990436,164.964636273,13.466376506|2,141.203509380,222.179534616,12.665780699|3,-192.632651600,216.752434703,12.274097227|
2,142.215101620,221.574832159,12.620364487|2,-38.886739036,165.107427292,13.447981988|3,-191.284133725,218.279765613,12.335849469|
2,143.121532250,221.480863248,12.604342748|2,-38.792303800,165.734819596,13.474522694|3,-188.814579184,218.747325489,12.338604329|
2,-38.451652846,165.481274898,13.419977835|2,143.451675677,221.346727042,12.576421693|3,-185.730495583,218.759872544,12.313106772|
2,143.118345085,220.844310790,12.528227649|2,-38.311294896,166.461794320,13.466942381|3,-183.027273372,219.492275748,12.329731136|
2,-38.129706820,166.561662705,13.444826562|2,143.014929970,221.384580996,12.536942755|3,-179.297384515,219.029968067,12.282499961|
2,-37.838489607,166.245613772,13.394602615|2,142.410887747,222.114145419,12.555170200|3,-177.185449776,220.492145186,12.347061434|
2,140.884596734,222.112169161,12.529608862|2,-37.802925641,167.002999999,13.432763522|3,-173.198182828,219.717836649,12.288518921|
2,-37.655829929,167.401056002,13.437277428|2,139.217243540,222.570351031,12.527270606|3,-170.023760076,220.017873904,12.290756549|
2,-37.520561954,167.808975806,13.447162364|2,137.413982510,223.481144882,12.549083630|3,-167.152576418,220.677248401,12.316694491|
2,-37.377026187,167.961538169,13.440545303|2,135.158601556,224.258031155,12.565255340|3,-164.211271311,221.126222670,12.336737309|
2,132.607297782,225.125249120,12.588178249|2,-37.277679362,168.310584666,13.449791525|3,-160.329557908,220.199161651,12.283338634|
2,-37.035387659,168.273332503,13.427578688|2,129.796965388,225.921496200,12.607124064|3,-158.366483156,221.958355665,12.376877129|
2,-36.884698496,168.593040625,13.432255479|2,126.694216567,226.665241618,12.620876066|3,-154.443130594,220.960701007,12.309448338|
2,123.097513758,226.763485177,12.600785086|2,-36.708865604,169.188330677,13.455601810|3,-152.096795541,222.151842250,12.367999860|
2,119.863255339,227.393980871,12.618033729|2,-36.429695319,169.351858777,13.452096356|3,-148.721026516,221.477330294,12.330265073|
2,116.530684577,228.260007904,12.646290791|2,-36.359873187,169.908738443,13.479958159|3,-147.010263061,222.674666801,12.395865600|
2,-36.108569803,169.588140253,13.442021255|2,112.698895025,228.268292819,12.629517627|3,-143.071665850,220.432893096,12.271192244|
2,109.421171020,229.676352537,12.698698477|2,-36.022537731,170.037642507,13.464139466|3,-142.652205403,223.159808252,12.426742438|
2,105.448813834,229.928327381,12.700928923|2,-35.923539581,170.212149570,13.465674920|3,-140.210513972,222.276917748,12.377494118|
2,101.357117348,229.893387623,12.693245695|2,-35.782771418,170.337811988,13.463427815|3,-137.688285391,220.753456192,12.292378802|
2,-35.655298838,170.511577605,13.468304060|2,97.362011289,229.567304049,12.673405223|3,-137.581170439,222.667086560,12.400419869|
2,-35.579047358,170.586058553,13.465089361|2,93.621273410,229.798790304,12.686908406|3,-136.397237681,222.310549888,12.380724794|
2,89.741141946,229.212094537,12.657644087|2,-35.403066015,170.423155460,13.443420629|3,-134.700065197,220.740491790,12.291190807|
2,-35.267303125,170.712715831,13.447353221|2,86.449533074,229.543354965,12.672741497|3,-134.636283418,221.456754036,12.319734315|
2,83.494549119,230.309287338,12.716546096|2,-35.102021819,170.861703377,13.447669460|3,-134.344218816,221.333595733,12.302281802|
2,-34.928170996,170.680987086,13.429789868|2,80.533901259,230.259698604,12.722138687|3,-135.337276318,222.546492635,12.365139838|
2,-34.872071089,170.648894416,13.428344075|2,77.136245249,228.052370529,12.611329268|3,-135.301193842,221.541305455,12.308784131|
2,-34.718091421,170.318033986,13.394931848|2,74.887302635,228.497260693,12.640392370|3,-136.560034985,222.307262681,12.343265911|
2,73.277589250,229.942728331,12.724424804|2,-34.780371874,171.382227804,13.473274185|3,-138.257111566,223.207414747,12.379721781|
2,-34.575008649,171.122240321,13.447244476|2,70.925730863,227.796486231,12.612928803|3,-140.076597196,224.000859062,12.412937318|
2,69.787174230,227.758652644,12.623913274|2,-34.306016328,170.437782715,13.393149103|3,-140.204609784,221.755676219,12.282906963|
2,-34.432856700,171.461324897,13.474414687|2,69.222612777,228.666290327,12.679800586|3,-142.351963599,222.127289515,12.296753084|
2,-34.281341744,171.391110383,13.476802701|2,68.790434286,228.605662826,12.688070625|3,-145.980724752,224.522292835,12.424764280|
2,-34.182493215,171.442324819,13.481568683|2,68.810737814,228.567964127,12.691102217|3,-147.724226370,223.621344423,12.372065815|
2,-34.028221516,171.225684736,13.477608094|2,68.648326901,227.412836840,12.638012200|3,-149.598676143,222.818518042,12.322983768|
2,69.917890325,228.625015758,12.711335781|2,-33.868935030,171.021156989,13.471003578|3,-152.654708643,223.359323507,12.351473253|
2,70.843401220,228.193517412,12.695702905|2,-33.826811250,170.840176322,13.471296994|3,-155.582205681,223.486119485,12.360488059|
2,72.318737920,228.088268892,12.696610701|2,-33.849896110,171.023803894,13.498313773|3,-159.136305611,224.343378713,12.409227207|
2,74.256341066,228.043558113,12.695254077|2,-33.821546807,171.207753992,13.523719327|3,-161.840393987,223.905917537,12.385778205|
2,-33.646321707,170.826203304,13.503947984|2,76.436866237,227.455474818,12.661040281|3,-165.565825324,224.865484286,12.439778331|
2,79.405854105,228.714520014,12.729086816|2,-33.476602182,170.106638795,13.462713318|3,-167.834817062,223.777160313,12.383782672|
2,82.300800407,228.581401298,12.720351958|2,-33.299801794,169.558550834,13.433927310|3,-170.268255764,222.942911611,12.349923529|
2,86.046908541,229.865696237,12.795952944|2,-33.281092470,170.020381078,13.487972268|3,-173.741008903,223.606932511,12.395265573|
2,-33.198406350,170.128913451,13.506532946|2,89.454887234,229.566062580,12.775497435|3,-176.253076168,223.142629865,12.377287700|
2,93.459989919,229.965578792,12.796987300|2,-32.842813011,169.019208007,13.428099516|3,-179.250827730,223.507864137,12.403761564|
2,-32.753078912,169.143529550,13.449492777|2,96.943402199,228.927954059,12.741287281|3,-180.900765556,222.248790511,12.344810148|
2,-32.786923637,169.303733015,13.472019136|2,101.572328797,230.471216219,12.832024771|3,-184.627991885,223.573285253,12.429218709|
2,105.195112515,229.178657946,12.765412134|2,-32.682729564,169.081326394,13.468695012|3,-185.846626171,222.199593255,12.364294685|
2,109.705314112,229.848781956,12.805109191|2,-32.624919094,169.192030494,13.483457674|3,-188.639567284,223.094377425,12.420521879|
2,-32.522162515,168.850492408,13.465918669|2,113.391327146,228.743890442,12.753901417|3,-189.358999382,221.780970082,12.357905596|
2,-32.386414333,168.677688541,13.459326146|2,117.964389071,229.283868602,12.796331745|3,-191.117218614,222.018673703,12.382648483|
2,122.271590029,229.327104712,12.815430227|2,-32.300639203,168.355632746,13.446935747|3,-192.166773432,221.796270822,12.382243240|
2,-32.249558513,168.158106383,13.452417524|2,125.786039461,228.360371318,12.779200264|3,-193.729031484,222.413599196,12.429912192|
2,129.558226084,228.108411502,12.780940826|2,-32.127431626,167.637050173,13.417436504|3,-194.018827080,222.099712885,12.419370148|
2,-32.185874075,168.285695077,13.478605650|2,133.014743551,227.611630563,12.769009825|3,-193.997157413,221.951812786,12.417954094|
2,135.912069062,226.393420063,12.723758696|2,-32.062932619,168.159547475,13.479236707|3,-192.468475269,220.409453777,12.336359098|
2,-31.904449429,167.820036562,13.462878174|2,139.129731460,226.087151740,12.726555993|3,-191.469447554,220.007683145,12.317980803|
2,-31.856422008,167.544427518,13.449044467|2,141.780460033,225.640265328,12.716857715|3,-191.030889693,220.454742336,12.345957805|
2,143.813530006,224.448777638,12.668577989|2,-31.861363683,168.027577359,13.488625529|3,-189.435940444,220.067299602,12.323879830|
2,146.179411513,224.337779039,12.681576456|2,-31.791678643,167.825854265,13.488345630|3,-188.547809163,220.727602173,12.364679335|
2,147.568022562,223.332497960,12.641095805|2,-31.738372733,167.503679304,13.472164425|3,-186.698166421,220.648370599,12.360664165|
2,-31.698834646,167.869474403,13.504542145|2,148.972432662,222.991239786,12.633517781|3,-184.027846857,219.928069999,12.320379822|
2,-31.677856885,167.917488687,13.518066778|2,149.131905382,221.409824457,12.557771858|3,-181.731817681,219.912320401,12.320818498|
2,-31.551163534,167.403042716,13.487107970|2,149.377433188,220.730656223,12.527230696|3,-179.201122423,219.848759161,12.319709503|
2,-31.503995867,167.235890825,13.485038256|2,149.913981035,221.087296468,12.553267258|3,-177.073923320,220.431191783,12.358342379|
2,-31.502713468,167.175862523,13.485024733|2,149.435149199,220.928221770,12.543978299|3,-173.669242029,219.648596033,12.315402415|
2,149.179668853,221.499648596,12.573957117|2,-31.406012537,166.921188239,13.467840430|3,-171.439243998,220.477848891,12.364721736|
2,-31.286005197,166.586636990,13.448849583|2,147.623515941,221.074513561,12.546714002|3,-167.460545405,219.127920415,12.295258839|
2,-31.185450089,166.147532172,13.418525057|2,145.916213696,221.036236966,12.539076422|3,-166.341910040,221.656190205,12.444697472|
2,144.300933270,221.801661969,12.573151133|2,-31.225120298,166.695480288,13.463322939|3,-162.779613763,221.026227492,12.412100293|
2,-31.264262675,166.862243815,13.488333134|2,142.322828607,222.705845569,12.617362111|3,-158.767208491,219.450826218,12.337722955|
2,139.792140134,223.401125116,12.648879012|2,-31.203732676,166.433196529,13.465666554|3,-156.286395577,220.088990193,12.383800174|
2,136.085579907,222.615400495,12.592857173|2,-31.227193599,166.477153603,13.470562738|3,-153.525240775,220.242488588,12.399051403|
2,133.671053940,224.338550367,12.681695475|2,-31.231437010,166.395112425,13.473461261|3,-149.938550242,219.113977596,12.351711988|
2,-31.214617796,166.196219953,13.464040494|2,130.134164439,224.474977788,12.685376659|3,-147.980328657,220.138088201,12.426217806|
2,126.416441462,224.613600615,12.688448990|2,-31.216214428,166.122903804,13.469449663|3,-146.151371770,220.975458001,12.490118436|
2,122.719605263,224.728780796,12.693282734|2,-31.236222983,166.136697706,13.479575552|3,-142.048537509,218.541672782,12.368972107|
2,-31.283976994,166.133426514,13.489519667|2,118.909748978,224.876613229,12.700897601|3,-139.506710472,217.629541007,12.332487729|
2,-31.334138171,166.104834575,13.492679783|2,114.593762443,224.333961595,12.668400247|3,-137.860730399,218.088809619,12.375205039|
2,110.844165580,225.017653194,12.713051281|2,-31.410990784,165.776287659,13.474776470|3,-135.381379739,216.584997326,12.305363439|
2,106.760147458,225.032783830,12.720900156|2,-31.432463059,165.747423632,13.484093268|3,-134.489214222,217.383447668,12.365629600|
2,-31.593942609,165.888568012,13.508623674|2,102.782016071,225.359512144,12.750026325|3,-133.507010396,217.322688699,12.376078575|
2,98.564951675,224.799314781,12.729908429|2,-31.809398827,165.957433973,13.529524203|3,-132.415667721,216.664838466,12.353904688|
2,94.780601535,224.965878642,12.754441436|2,-31.802081535,165.173335276,13.476854834|3,-132.704349444,217.763844370,12.431190486|
2,90.569431454,223.724199869,12.698847255|2,-31.949201394,165.035999190,13.477744589|3,-131.695224755,216.336160133,12.358220464|
2,87.153109810,223.617153484,12.703079946|2,-31.933373237,164.855786269,13.468174669|3,-131.397649258,215.762163946,12.330132781|
2,-31.937014494,164.675199386,13.462397348|2,84.228468404,224.093959303,12.748627092|3,-131.904931373,216.041314697,12.349668094|
2,-32.070937583,164.950431585,13.493755231|2,80.851458984,222.446294546,12.671194824|3,-132.589126537,216.002870168,12.349716183|
2,78.395692528,222.962852911,12.712823120|2,-32.042623809,164.722847624,13.480366627|3,-133.355558096,215.887593796,12.343584485|
